ABS,Adjustable_Seat,Bore,Cam_Type,Carburettor,Charging_Method,Clutch_Type,Colour,Compression_Ratio,Cooling,Country_of_Origin,Cylinders,Drive_Type,Dry_Weight,Engine_Config,Engine_Description,Engine_Type,Engine_Voltage,Exhaust_Config,First_Seen,Frame_Material,Front_Brake_Caliper(s),Front_Brake_Description,Front_Brake_Diameter,Front_Suspension,Front_Suspension_Travel,Fuel_Tank_Capacity,Gear_Change_Method,Gear_Number,Gear_Type,Ground_Clearance,Height,Ignition,Kilometers,Last_Modified,Last_Seen,Learner_Approved,Length,Linked_Braking_System,Make,Maximum_Power,Maximum_Power_RPM,Maximum_Torque,Maximum_Torque_RPM,Model,Network_ID,Postcode,Price,Rake_(Caster_Angle),Rear_Brake_Caliper(s),Rear_Brake_Description,Rear_Brake_Diameter,Rear_Suspension,Rear_Suspension_Travel,Recommended_RON,Registration_Expiry,Seat_Height,Seating_Capacity,Seating_Position,Side_Stand,Side_Stand_Start_Inhibitor,Starter,State,Stroke,Suburb,Swingarm_Type,Throttle_Bore,Traction_Control,Trail,URL,Valves_Per_Cylinder,Warranty_in_Months_from_First_Registration,Wet_Operational_Weight,Wheel_Type,Wheelbase,Width,Release_Year,Seller
Standard,No,78.0,DOHC (Double Over Head Cam),EFI - Electronic Fuel Injection,Engine,"Wet, multi-plate; Slipper",black,13.0,Liquid,ITALY,4.0,Chain,179.0,V4,1000.0,Piston,12.0,4 into 1,2019-07-01,Alumimium,Four Piston,Twin floating stainless steel discs; Brembo monobloc radial calipers; Hydraulic; Sintered pads; ABS,320.0,43mm Ohlins upside down front fork; Fully adjustable spring preload & hydraulic compression and rebound damping,120.0,17.0,Left foot lever,6.0,Manual,130.0,1120.0,Digital Electronic,16500.0,2019-06-12,2019-07-12,No,2040.0,No,Aprilia,132.4,12250.0,120.0,10000.0,RSV4_,SSE-AD-5980872,2290.0,12000,24.5,Double Piston,Single disc; Brembo floating caliper; Hydraulic; ABS,220.0,Swingarm; Single Ohlins Racing monoshock; Fully adjustable: spring preload & hydraulic compression and rebound damping. APS progressive linkage,130.0,95.0,01/10/2019,845.0,2.0,Forward,Yes,,Electric,NSW,52.3,Whitebridge,Dual Sided,,Standard,105.0,https://www.bikesales.com.au/bikes/details/2011-aprilia-rsv4-factory-aprc/SSE-AD-5980872/?Cr=0,4.0,24,,,1420.0,735.0,2011,Private
Standard,No,78.0,DOHC (Double Over Head Cam),"EFI - Electronic Fuel Injection, Weber-Marelli",Engine,"Wet, Multi Plate, Mechanical Slipper System",yellow,13.0,Liquid,ITALY,4.0,Chain,179.0,V4,1000.0,Piston,12.0,4 into 1,2019-07-01,Aluminium dual beam chassis with pressed & cast sheet elements. Sachs steering damper.,Four Piston,"Twin floating stainless steel discs, lightweight stainless steel rotors, alloy flange, Brembo Gold Series monobloc radial calipers; ABS",320.0,"Ohlins racing upside-dwon fork, 43mm, Adjustable spring preload & hydraulic compression & rebound damping, Ohlins steering damper",120.0,17.0,Left foot lever,6.0,Manual,130.0,1120.0,Digital Electronic,12000.0,2019-06-19,2019-07-12,No,2040.0,No,Aprilia,132.4,12250.0,120.0,10000.0,RSV4_,SSE-AD-6092488,6110.0,13000,24.5,Double Piston,"Single disc, Brembo floating opposed piston caliper, Braided hose (ABS)",220.0,"Ohlins racing mono-shock absorber, Adjustable piggy-back spring preload, Hydraulic compression & rebound damping, APS progressive linkage",130.0,95.0,01/09/2019,845.0,2.0,Forward,Yes,,Electric,WA,52.3,Southern river,Dual Sided,48.0,Standard,105.0,https://www.bikesales.com.au/bikes/details/2012-aprilia-rsv4-factory-aprc/SSE-AD-6092488/?Cr=1,4.0,24,,"Gold, 5-split spokes, Aprilia forged aluminium alloy rims, completely machined",1420.0,735.0,2012,Private
Standard,,78.0,DOHC (Double Over Head Cam),EFI - Electronic Fuel Injection; Weber-Marelli throttle bodies; 8-injectors; RbW; 3 mappings (Track; Sport & Road),Engine,Launch control (3-settings),black,13.0,Liquid,ITALY,4.0,Chain,181.0,V4,1000.0,Piston,12.0,4 into 1,2019-07-01,,Four Piston,Twin disc; Brembo M430 monobloc radial opposed piston calipers; Sintered pads; Hydraulic; Bosch 9MP Dynamic Race ABS (Switchable),320.0,43mm Ohlins upside down/inverted fork; Adjustable spring preload; Compression & rebound damping; Ohlins steering damper,120.0,18.5,Left foot lever,6.0,Manual,,,Digital Electronic,2500.0,2019-06-17,2019-09-08,No,,No,Aprilia,135.3,12250.0,120.0,10000.0,RSV4_,SSE-AD-6070695,2037.0,13900,,Double Piston,Single disc; Brembo opposed piston caliper; Hydraulic; Dynamic Race ABS (Switchable),220.0,Single Ohlins shock absorber; Adjustable spring preload; Compression & rebound damping; APS progressive linkage,130.0,95.0,01/01/1970,845.0,2.0,Forward,Standard,,Electric,NSW,52.3,Glebe,Dual Sided,48.0,Standard,,https://www.bikesales.com.au/bikes/details/2014-aprilia-rsv4-factory-aprc-abs/SSE-AD-6070695/?Cr=0,4.0,24,,Black; Multi-spoke; Alloy,1443.0,,2014,Private
Standard,,78.0,DOHC (Double Over Head Cam),EFI - Electronic Fuel Injection; Weber-Marelli throttle bodies; 8-injectors; RbW; 3 mappings (Track; Sport & Road),Engine,Launch control (3-settings),black,13.0,Liquid,ITALY,4.0,Chain,181.0,V4,1000.0,Piston,12.0,4 into 1,2019-07-01,,Four Piston,Twin disc; Brembo M430 monobloc radial opposed piston calipers; Sintered pads; Hydraulic; Bosch 9MP Dynamic Race ABS (Switchable),320.0,43mm Ohlins upside down/inverted fork; Adjustable spring preload; Compression & rebound damping; Ohlins steering damper,120.0,18.5,Left foot lever,6.0,Manual,,,Digital Electronic,14000.0,2019-06-27,2019-09-08,No,,No,Aprilia,135.3,12250.0,120.0,10000.0,RSV4_,SSE-AD-6013995,2121.0,16500,,Double Piston,Single disc; Brembo opposed piston caliper; Hydraulic; Dynamic Race ABS (Switchable),220.0,Single Ohlins shock absorber; Adjustable spring preload; Compression & rebound damping; APS progressive linkage,130.0,95.0,01/01/1970,845.0,2.0,Forward,Standard,,Electric,NSW,52.3,Epping,Dual Sided,48.0,Standard,,https://www.bikesales.com.au/bikes/details/2014-aprilia-rsv4-factory-aprc-abs/SSE-AD-6013995/?Cr=3,4.0,24,,Black; Multi-spoke; Alloy,1443.0,,2014,Private
Standard,,78.0,DOHC (Double Over Head Cam),EFI - Electronic Fuel Injection; Weber-Marelli throttle bodies; 8-injectors; RbW; 3 mappings (Track; Sport & Road),Engine,Launch control (3-settings),black,13.0,Liquid,ITALY,4.0,Chain,181.0,V4,1000.0,Piston,12.0,4 into 1,2019-07-01,,Four Piston,Twin disc; Brembo M430 monobloc radial opposed piston calipers; Sintered pads; Hydraulic; Bosch 9MP Dynamic Race ABS (Switchable),320.0,43mm Ohlins upside down/inverted fork; Adjustable spring preload; Compression & rebound damping; Ohlins steering damper,120.0,18.5,Left foot lever,6.0,Manual,,,Digital Electronic,4706.0,2019-06-13,2019-09-08,No,,No,Aprilia,135.3,12250.0,120.0,10000.0,RSV4_,SSE-AD-6065536,5211.0,16800,,Double Piston,Single disc; Brembo opposed piston caliper; Hydraulic; Dynamic Race ABS (Switchable),220.0,Single Ohlins shock absorber; Adjustable spring preload; Compression & rebound damping; APS progressive linkage,130.0,95.0,01/08/2019,845.0,2.0,Forward,Standard,,Electric,SA,52.3,Encounter bay,Dual Sided,48.0,Standard,,https://www.bikesales.com.au/bikes/details/2014-aprilia-rsv4-factory-aprc-abs/SSE-AD-6065536/?Cr=5,4.0,24,,Black; Multi-spoke; Alloy,1443.0,,2014,Private
Standard,,78.0,DOHC (Double Over Head Cam),EFI - Electronic Fuel Injection; Weber-Marelli throttle bodies; 8-injectors; RbW; 3 mappings (Track; Sport & Road),Engine,Wet; Multi-disc; Slipper; Mechanical/cable operation,black,13.0,Liquid,ITALY,4.0,Chain,181.0,V4,1000.0,Piston,12.0,4 into 1,2019-07-12,Aluminium,Four Piston,Twin disc; Brembo M430 monobloc radial opposed piston calipers; Sintered pads; Hydraulic; Bosch 9MP Dynamic Race ABS (Switchable),320.0,43mm Ohlins upside down/inverted fork; Adjustable spring preload; Compression & rebound damping; Ohlins steering damper,120.0,18.5,Left foot lever,6.0,Manual,,,Digital Electronic,30000.0,2019-07-10,2019-08-30,No,,No,Aprilia,135.3,12250.0,120.0,10000.0,RSV4_,SSE-AD-5699958,3199.0,14000,,Double Piston,Single disc; Brembo opposed piston caliper; Hydraulic; Dynamic Race ABS (Switchable),220.0,Single Ohlins shock absorber; Adjustable spring preload; Compression & rebound damping; APS progressive linkage,130.0,95.0,01/01/2019,845.0,1.0,Forward,Standard,,Electric,VIC,52.3,Frankston,Dual Sided,48.0,Standard,,https://www.bikesales.com.au/bikes/details/2013-aprilia-rsv4-factory-aprc-abs-my14/SSE-AD-5699958/?Cr=1,4.0,24,,Black; Multi-spoke; Alloy,1443.0,,2013,Private
Standard,,78.0,DOHC (Double Over Head Cam),EFI - Electronic Fuel Injection; Weber-Marelli throttle bodies; 8-injectors; RbW; 3 mappings (Track; Sport & Road),Engine,Launch control (3-settings),black,13.0,Liquid,ITALY,4.0,Chain,181.0,V4,1000.0,Piston,12.0,4 into 1,2019-08-25,,Four Piston,Twin disc; Brembo M430 monobloc radial opposed piston calipers; Sintered pads; Hydraulic; Bosch 9MP Dynamic Race ABS (Switchable),320.0,43mm Ohlins upside down/inverted fork; Adjustable spring preload; Compression & rebound damping; Ohlins steering damper,120.0,18.5,Left foot lever,6.0,Manual,,,Digital Electronic,5500.0,2019-08-23,2019-09-08,No,,No,Aprilia,135.3,12250.0,120.0,10000.0,RSV4_,SSE-AD-6251255,2000.0,16999,,Double Piston,Single disc; Brembo opposed piston caliper; Hydraulic; Dynamic Race ABS (Switchable),220.0,Single Ohlins shock absorber; Adjustable spring preload; Compression & rebound damping; APS progressive linkage,130.0,95.0,01/07/2020,845.0,2.0,Forward,Standard,,Electric,NSW,52.3,Sydney,Dual Sided,48.0,Standard,,https://www.bikesales.com.au/bikes/details/2014-aprilia-rsv4-factory-aprc-abs/SSE-AD-6251255/?Cr=6,4.0,24,,Black; Multi-spoke; Alloy,1443.0,,2014,Private
No,,83.0,DOHC (Double Over Head Cam),DFI - Digital Fuel Injection,Engine,"Wet, Multi-disc",red,12.0,Liquid,JAPAN,4.0,Chain,210.0,Inline,1200.0,Piston,12.0,,2019-07-12,,,Twin semi-floating discs; Hydraulic,320.0,"43mm Inverted cartridge fork; Adjustable preload, rebound & compression damping",,20.0,Left foot lever,6.0,Manual,120.0,1185.0,,42190.0,2019-06-03,2019-08-30,No,2080.0,No,Kawasaki,130.0,10500.0,140.0,8000.0,ZX_12R,SSE-AD-5961537,4211.0,4000,23.5,,Single disc; Hydraulic,,Bottom-link Uni-Trak,,95.0,01/01/1970,,2.0,Forward,Yes,,Electric,QLD,55.4,Mount nathan,Dual Sided,46.0,,93.0,https://www.bikesales.com.au/bikes/details/2000-kawasaki-zx-12r/SSE-AD-5961537/?Cr=0,4.0,0,,Black; 3-spoke,,725.0,2000,Private
No,,83.0,DOHC (Double Over Head Cam),DFI - Digital Fuel Injection,Engine,"Wet, Multi-disc",black,12.0,Liquid,JAPAN,4.0,Chain,210.0,Inline,1200.0,Piston,12.0,,2019-07-12,,,Twin semi-floating discs; Hydraulic,320.0,"43mm Inverted cartridge fork; Adjustable preload, rebound & compression damping",,20.0,Left foot lever,6.0,Manual,120.0,1185.0,,45049.0,2019-06-20,2019-08-25,No,2080.0,No,Kawasaki,130.0,10500.0,140.0,8000.0,ZX_12R,SSE-AD-5710420,2615.0,5000,23.5,,Single disc; Hydraulic,,Bottom-link Uni-Trak,,95.0,01/12/2018,,2.0,Forward,Yes,,Electric,ACT,55.4,Dunlop,Dual Sided,46.0,,93.0,https://www.bikesales.com.au/bikes/details/2006-kawasaki-zx-12r/SSE-AD-5710420/?Cr=1,4.0,0,,Black; 3-spoke,,725.0,2006,Private
No,,83.0,DOHC (Double Over Head Cam),DFI - Digital Fuel Injection,Engine,"Wet, Multi-disc",black,12.0,Liquid,JAPAN,4.0,Chain,210.0,Inline,1200.0,Piston,12.0,,2019-07-12,,,Twin semi-floating discs; Hydraulic,320.0,"43mm Inverted cartridge fork; Adjustable preload, rebound & compression damping",,20.0,Left foot lever,6.0,Manual,120.0,1185.0,,29592.0,2019-07-04,2019-09-08,No,2080.0,No,Kawasaki,130.0,10500.0,140.0,8000.0,ZX_12R,SSE-AD-6163775,2158.0,5500,23.5,,Single disc; Hydraulic,,Bottom-link Uni-Trak,,95.0,01/08/2019,,2.0,Forward,Yes,,Electric,NSW,55.4,Dural,Dual Sided,46.0,,93.0,https://www.bikesales.com.au/bikes/details/2002-kawasaki-zx-12r/SSE-AD-6163775/?Cr=2,4.0,0,,Black; 3-spoke,,725.0,2002,Private
No,,83.0,DOHC (Double Over Head Cam),DFI - Digital Fuel Injection,Engine,"Wet, Multi-disc",blue,12.0,Liquid,JAPAN,4.0,Chain,210.0,Inline,1200.0,Piston,12.0,,2019-07-12,,,Twin semi-floating discs; Hydraulic,320.0,"43mm Inverted cartridge fork; Adjustable preload, rebound & compression damping",,20.0,Left foot lever,6.0,Manual,120.0,1185.0,,40098.0,2019-07-11,2019-07-12,No,2080.0,No,Kawasaki,130.0,10500.0,140.0,8000.0,ZX_12R,SSE-AD-6033357,3012.0,5500,23.5,,Single disc; Hydraulic,,Bottom-link Uni-Trak,,95.0,01/12/2019,,2.0,Forward,Yes,,Electric,VIC,55.4,West footscray,Dual Sided,46.0,,93.0,https://www.bikesales.com.au/bikes/details/2004-kawasaki-zx-12r/SSE-AD-6033357/?Cr=3,4.0,0,,Black; 3-spoke,,725.0,2004,Private
No,,83.0,DOHC (Double Over Head Cam),DFI - Digital Fuel Injection,Engine,"Wet, Multi-disc",black,12.0,Liquid,JAPAN,4.0,Chain,210.0,Inline,1200.0,Piston,12.0,,2019-07-12,,,Twin semi-floating discs; Hydraulic,320.0,"43mm Inverted cartridge fork; Adjustable preload, rebound & compression damping",,20.0,Left foot lever,6.0,Manual,120.0,1185.0,,25500.0,2019-06-19,2019-08-12,No,2080.0,No,Kawasaki,130.0,10500.0,140.0,8000.0,ZX_12R,SSE-AD-5078464,6149.0,6500,23.5,,Single disc; Hydraulic,,Bottom-link Uni-Trak,,95.0,01/07/2019,,2.0,Forward,Yes,,Electric,WA,55.4,Leeming,Dual Sided,46.0,,93.0,https://www.bikesales.com.au/bikes/details/2006-kawasaki-zx-12r/SSE-AD-5078464/?Cr=5,4.0,0,,Black; 3-spoke,,725.0,2006,Private
